Estimate,Date,Customer Tags,City,Zip,Description,Amount,Labor,Materials,Subtotal,Job Tags,Job Status,Bid Employee,Crew,Job Type
9940,8/17/2020 15:30,no review,Denver,80238,Exterior Residential Painting - Exterior Preparation,4475,3530,1195,4725,My Website,approved,1,,
9945,8/20/2020 8:00,,Littleton,80128,Exterior Residential Painting - Exterior Preparation,4940,3900,1040,4940,My Website,Awaiting Approval,2,,
9938-1,8/20/2020 11:00,My Website,Aurora,80018,Interior 2 Coats,6810,5810,1000,6810,,Awaiting Approval,1,,
9939,8/20/2020 9:00,"BNI,Property Manager,Jim Shonts",Littleton,80123,Interior Painting ,0,0,0,0,,SCHEDULED,1,,
9941,8/20/2020 8:00,saw truck,Aurora,80015,Exterior Residential Painting - Exterior Preparation,3640,3065,775,3840,,Awaiting Approval,1,,
9942-1,,,Aurora,80011,Main Building - Exterior Preparation,10730,9280,1450,10730,,approved,,,
9942-2,,,Aurora,80011,Secondary Buildings  Prep - Exterior Preparation,9885,8640,1245,9885,,pro approved,,,
9944,,,Littleton,80129,,0,0,0,0,,UNSCHEDULED,,,
9961,8/26/2020 17:00,,Parker,80134,Exterior Residential Painting - Exterior Preparation,5430,4320,1110,5430,My Website,approved,1,,
9946-1,8/26/2020 13:30,Referral,Littleton,80130,Exterior Residential Painting - Exterior Preparation,5240,4180,1060,5240,,approved,2,,
9947,8/28/2020 10:00,Referral,Elizabeth,80107,Exterior Residential Painting - Exterior Preparation,4295,3530,1115,4645,,approved,1,,
9949-2,8/17/2020 11:30,,Highlands Ranch,80126,Re-stain Hand Rail and Posts,2930,2930,0,2930,,Awaiting Approval,2,,
9950,8/25/2020 13:00,,Aurora,80016,Laundry Room,1355,1090,265,1355,"interior,Referral",approved,1,,
9951,8/27/2020 10:00,Facebook,Highlands Ranch,80130,Cabinets - Cabinet Preparation,5845,5425,420,5845,,Awaiting Approval,2,,
9952,8/31/2020 13:00,Nextdoor,Aurora,80016,Pergola,940,940,0,940,,pro approved,1,,
9954,,,Centennial,80015,Aurora Show Room-Walls,2455,2065,390,2455,,approved,,,
9955,9/2/2020 13:00,My Website,Castle Pines,80108,Exterior Residential Painting - Exterior Preparation,11720,9600,2120,11720,,Awaiting Approval,2,,
9956,8/31/2020 14:30,Referral,Denver,80218,Interior Paint,2640,2080,560,2640,,approved,1,,
9970,8/31/2020 15:30,,Timnath,80547,Exterior Residential Painting - Exterior Preparation,4180,3110,1070,4180,My Website,pro approved,1,,
9946-2,8/26/2020 13:30,Referral,Littleton,80130,Paint Large Ceiling in Entry/Family Room/Upstairs Hall,5090,4690,400,5090,,declined,2,,
9959,9/1/2020 10:00,Referral,Aurora,80015,,0,0,0,0,,SCHEDULED,1,,
9960,9/3/2020 10:00,Returning Customer,Aurora,80015,Kitchen Cabinets Preparation,3630,3070,560,3630,,Awaiting Approval,1,,
9971,8/31/2020 11:30,,Denver,80238,Single Vanity,3060,2595,565,3160,My Website,approved,1,,
9962-1,9/2/2020 11:30,,Castle Rock,80108,Interior Painting - Walls Only,2270,1960,310,2270,My Website,pro approved,2,,
9938-2,8/20/2020 11:00,My Website,Aurora,80018,Exterior Residential Painting - Exterior Preparation,4140,3225,915,4140,,Awaiting Approval,1,,
9963-1,8/31/2020 16:30,,Littleton,80129,Re-finish trim,4430,3600,830,4430,,SCHEDULED,2,,
9964,9/2/2020 14:00,,Centennial,80122,Exterior Residential Painting - Exterior Preparation,3690,2930,760,3690,,approved,2,,
9965,9/1/2020 11:00,Archive,Golden,80401,Interior Painting - Family Room,2620,2250,370,2620,,approved,2,,
9966,,,Denver,80204,"Painting quotes - Free interior consultation (click ""+""  to add to cart, then click ""next"" to schedule)",7390,6650,1290,7940,,pro declined,1,,
9967,,,Aurora,80015,Main Area,2555,1945,610,2555,,approved,,,
9968,9/3/2020 11:00,Referral,Littleton,80128,Cabinets - Cabinet Preparation,3240,2910,330,3240,,Awaiting Approval,2,,
9985,9/8/2020 10:00,"Returning Customer,no review",Aurora,80016,Main Area,3100,2515,585,3100,,approved,1,,
9979,9/7/2020 15:30,,Littleton,80120,Exterior Residential Painting - Exterior Preparation,6470,5410,1060,6470,My Website,Awaiting Approval,2,,
9984,9/7/2020 15:30,,Aurora,80016,Main Area Painting-2 Coats,13315,11550,1765,13315,My Website,Awaiting Approval,1,,
9978,9/7/2020 11:30,,Lakewood,80228,Exterior Residential Painting - Exterior Preparation,4220,3300,920,4220,My Website,Awaiting Approval,2,,
9962-2,9/2/2020 11:30,,Castle Rock,80108,Cabinets - Cabinet Preparation,4860,4450,410,4860,,approved,2,,
9991,9/10/2020 8:00,,Highlands Ranch,80130,Exterior Residential Painting - Exterior Preparation,4450,3390,1060,4450,My Website,approved,2,,
9972-1,9/22/2020 10:00,Referral,Castle Rock,80104,NOTES,2150,1860,290,2150,,Awaiting Approval,2,,
9973,,Referral,Aurora,80014,Mirror Removal,3635,980,2655,3635,,approved,3,,
9974,9/8/2020 13:00,google,Denver,80230,Drywall Repairs and Trim Replacement,4570,3620,950,4570,,Awaiting Approval,1,,
9981,9/8/2020 14:30,,Golden,80403,Exterior Residential Painting - Exterior Preparation,5920,4360,1560,5920,My Website,approved,2,,
10005,9/17/2020 14:30,,Castle Rock,80109,Exterior Residential Painting - Exterior Preparation,4390,3330,1060,4390,My Website,Awaiting Approval,2,,
9982-1,9/9/2020 15:30,,Highlands Ranch,80129,NOTES,9920,8430,1490,9920,My Website,Awaiting Approval,2,,
9975,,,Denver,80220,Exterior,9150,7720,1430,9150,,Awaiting Approval,,,
9976,,,Evergreen,80439,Exterior Residential Painting - Exterior Preparation,5240,4180,1060,5240,,Awaiting Approval,,,
9989,9/10/2020 15:30,no review,Bennett,80102,Exterior Residential Painting - Exterior Preparation,10600,9575,1025,10600,My Website,pro approved,1,,
9977,9/9/2020 13:00,,Aurora,80017,,0,0,0,0,,SCHEDULED,1,,
9963-2,8/31/2020 16:30,,Littleton,80129,Attempt to straighten lines from previous painter in all rooms,2300,2100,200,2300,,SCHEDULED,2,,
9963-3,8/31/2020 16:30,,Littleton,80129,Cabinets - Cabinet Preparation,0,0,0,0,,SCHEDULED,2,,
9963-4,8/31/2020 16:30,,Littleton,80129,,0,0,0,0,,SCHEDULED,2,,
9988,9/10/2020 8:00,,Parker,80134,Exterior Residential Painting - Exterior Preparation,5305,3785,1520,5305,My Website,approved,1,,
9980,9/14/2020 11:00,Referral,Greenwood Village,80121,Pergola and 2 pillars,1970,1690,280,1970,,approved,2,,
9982-2,9/9/2020 15:30,,Highlands Ranch,80129,Prep Handrail and stained trim on stairs,1630,1400,230,1630,,Awaiting Approval,2,,
9983,,google,Aurora,80016,"Painting quotes - Free interior consultation (click ""+""  to add to cart, then click ""next"" to schedule)",0,0,0,0,,UNSCHEDULED,,,
9994,9/14/2020 11:30,,Denver,80207,Exterior Residential Painting - Exterior Preparation,4680,3620,1060,4680,My Website,pro approved,1,,
10009-1,9/17/2020 12:30,,Aurora ,80015,"Painting quotes - Free Exterior Consultation (click ""+""  to add to cart, then click ""next"" to schedule)",3890,2890,1000,3890,My Website,Awaiting Approval,1,,
9986,9/14/2020 13:00,"neighbor getting work done,no review",Denver,80238,Exterior Residential Painting - Exterior Preparation,4365,3500,1090,4590,,pro approved,1,,
9987,9/14/2020 15:00,Referral,Denver,80238,Exterior Residential Painting - Exterior Preparation,4215,3425,1090,4515,,approved,1,,
9990,9/16/2020 15:00,"google,no review",Aurora,80018,Interior Walls - 2 Coats,4940,4180,760,4940,,pro approved,1,,
10010,9/17/2020 13:30,,Centennial,80015,Basement,2490,1880,610,2490,My Website,pro approved,1,,
10006,9/16/2020 11:30,,Greenwood Village,80121,Exterior Residential Painting - Exterior Preparation,5880,4820,1060,5880,My Website,Awaiting Approval,2,,
10015,9/17/2020 17:00,,Englewood,80113,NOTES,3245,2635,610,3245,My Website,Awaiting Approval,2,,
9992,9/17/2020 11:00,google,Denver,80211,NOTES,4470,3580,890,4470,,approved,2,,
9993,9/17/2020 13:00,"Referral,BMI group",Castle Rock,80108,Exterior Residential Painting - Exterior Preparation,8440,7380,1060,8440,,Awaiting Approval,2,,
9995,,,Denver,80202,,0,0,0,0,,UNSCHEDULED,,,
0-1,,,,,Interior Painting,97419.84,72360,25059.84,97419.84,,Awaiting Approval,,,
0-2,,,,,Exterior Residential Painting - Exterior Preparation,128390,111700,19130,130830,,Awaiting Approval,,,
0-3,,,,,Interior,7615,6340,1390,7730,,Awaiting Approval,,,
10014,9/21/2020 11:30,,Aurora,80016,Exterior Residential Painting - Exterior Preparation,4635,3185,1450,4635,My Website,approved,1,,
9997-1,9/18/2020 9:00,Referral,Centennial,80015,"Fireplace, Paneling and Wet Bar Area",5140,4300,840,5140,,pro approved,1,,
9998,9/22/2020 14:00,"Referral,repeat customer",Aurora,80014,Upstairs Walls-2 Coats,4970,4250,720,4970,,approved,1,,
9999,9/23/2020 10:00,Referral,Franktown,80116,Interior Main Level,11445,10260,1185,11445,,Awaiting Approval,1,,
10018,9/21/2020 12:30,,Denver,80238,Pergola,2775,2185,590,2775,My Website,approved,1,,
10000,9/21/2020 13:00,saw truck,Denver,80205,Exterior Residential Painting - Exterior Preparation,7490,1200,6290,7490,,Awaiting Approval,1,,
10001,9/24/2020 14:00,Facebook,Denver,80238,Exterior Residential Painting - Exterior Preparation,6645,5165,1480,6645,,Awaiting Approval,1,,
10002,9/22/2020 13:00,google,Broomfield,80020,Exterior Residential Painting - Exterior Preparation,6870,5810,1060,6870,,approved,2,,
10003,9/23/2020 12:00,Referral,Denver,80238,Fence,890,890,0,890,,Awaiting Approval,1,,
10004,9/22/2020 10:00,Referral,Parker,80134,"Custom Services - Custom design job (click ""+""  to add to cart, then click ""next"" to schedule)",0,0,0,0,,SCHEDULED,1,,
10039,9/30/2020 15:30,,Aurora,80016,Entry,2990,2400,590,2990,My Website,approved,1,,
10007,9/22/2020 11:30,Google lead,Aurora,80012,Repairs from Roofing Company,460,460,0,460,,approved,1,,
10027,9/24/2020 15:30,,Aurora,80016,Exterior Residential Painting - Exterior Preparation,5625,4000,1625,5625,My Website,approved,1,,
10008,9/24/2020 10:00,Facebook,Denver,80230,Garage Walls,2170,1850,320,2170,,Awaiting Approval,1,,
10009-2,9/17/2020 12:30,,Aurora ,80015,Window Trim,460,460,0,460,,Awaiting Approval,1,,
10023-1,9/23/2020 13:30,,Parker,80134,Exterior Residential Painting - Exterior Preparation,4290,3230,1060,4290,My Website,approved,1,,
10011-1,,,Parker,80134,Interior Painting-Walls,8960,7840,1120,8960,,Awaiting Approval,,,
10011-2,,,Parker,80134,Kitchen Cabinet Preparation,3460,3050,410,3460,,Awaiting Approval,,,
10019,9/23/2020 11:30,no review,AURORA,80015,Exterior Residential Painting - Exterior Preparation,4340,3230,1110,4340,My Website,approved,1,,
10026-1,9/24/2020 13:00,,Denver,80238,Interior Areas-2 Coats,5190,4290,900,5190,My Website,declined,1,,
10012,9/29/2020 10:00,,Denver,80238,Cabinets - Cabinet Preparation,3470,2840,630,3470,,pro approved,1,,
10013-1,9/23/2020 13:00,,Denver,80210,Interior Painting - Walls and Ceilings (same color),4440,3840,600,4440,,approved,2,,
9997-2,9/18/2020 9:00,Referral,Centennial,80015,Popcorn Scrape,10750,9810,940,10750,,Awaiting Approval,1,,
10024,9/24/2020 9:00,,Denver,80205,Main Area Painting,2110,1600,510,2110,My Website,Awaiting Approval,1,,
10032,9/28/2020 13:30,no review,Denver,80224,Exterior Residential Painting - Exterior Preparation,9360,8010,1350,9360,My Website,approved,1,,
10016,,google,Aurora,80011,"Painting quotes - Free Exterior Consultation (click ""+""  to add to cart, then click ""next"" to schedule)",0,0,0,0,,UNSCHEDULED,1,,
10025,9/24/2020 12:30,,Aurora,80010,Interior Painting,3180,2740,440,3180,My Website,Awaiting Approval,1,,
10038,9/29/2020 14:30,,Broomfield,80023,NOTES,4460,3770,690,4460,My Website,approved,2,,
10020,9/28/2020 12:00,no review,Boulder,80302,Painting,445,410,35,445,,pro approved,2,,
10013-2,9/23/2020 13:00,,Denver,80210,NOTES,5200,5200,0,5200,,declined,2,,
10021,9/23/2020 12:30,Archive,Denver,80210,Interior Painting - Paint Green Kitchen,540,440,100,540,,Awaiting Approval,2,,
9972-2,9/22/2020 10:00,Referral,Castle Rock,80104,Exterior Residential Painting - Exterior Preparation,4620,3560,1060,4620,,approved,2,,
10022,10/1/2020 9:00,Referral,Littleton,80125,Drywall repair,400,400,0,400,,Awaiting Approval,2,,
10023-2,9/23/2020 13:30,,Parker,80134,Colorado Room,2110,1990,120,2110,,declined,1,,
10026-2,9/24/2020 13:00,,Denver,80238,Front Railing,1070,760,310,1070,,approved,1,,
10035,9/28/2020 16:00,,Aurora,80018,Exterior Residential Painting - Exterior Preparation,3955,2840,1115,3955,My Website,Awaiting Approval,1,,
10030,9/28/2020 12:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,6345,5180,1500,6680,My Website,approved,1,,
10028-1,10/1/2020 13:00,Google lead,Aurora,80013,Acoustic Ceiling Removal ,7868,6958,910,7868,,Awaiting Approval,1,,
10029,9/30/2020 17:00,,Littleton,80127,Exterior Residential Painting - Exterior Preparation,5110,4090,1020,5110,,approved,2,,
10031-1,10/2/2020 9:00,"Referral,no review",Centennial,80122,Master Bedroom Popcorn,4205,3750,455,4205,,pro approved,2,,
10033,10/5/2020 13:00,Referral,Aurora,80018,Exterior Residential Painting - Exterior Preparation,4179,3110,1069,4179,,Awaiting Approval,1,,
10034-1,,,Boulder,80301,Interior Painting - Entry and Downstairs Hall,4980,4160,820,4980,,Awaiting Approval,2,,
10050,10/5/2020 15:30,,HIGHLANDS RANCH,80126,Exterior Residential Painting - Exterior Preparation,4920,3860,1060,4920,My Website,approved,2,,
10036-1,10/5/2020 12:00,"Referral,no review",Aurora,80015,Exterior Residential Painting - Exterior Preparation,4980,3855,1125,4980,,pro approved,1,,
10037,10/6/2020 10:00,Referral,Aurora,80016,Exterior Residential Painting - Exterior Preparation,4855,3730,1125,4855,,Awaiting Approval,1,,
10047,10/5/2020 11:30,,Aurora,80014,Interior Painting,2990,2600,590,3190,My Website,Awaiting Approval,1,,
10046,10/5/2020 15:30,no review,Strasburg,80136,Interior Painting Walls,11210,10440,1145,11585,My Website,approved,1,,
10051,10/5/2020 15:30,,Highlands Ranch ,80129,"Interior Painting - Living/Dining Room, Hall to Powder/Laundry Rooms",4445,3425,1020,4445,My Website,Awaiting Approval,2,,
10028-2,10/1/2020 13:00,Google lead,Aurora,80013,Wall Painting,4912,4202,710,4912,,Awaiting Approval,1,,
10055-1,10/6/2020 8:00,,Denver,80238,Exterior Residential Painting - Exterior Preparation,5745,4655,1090,5745,My Website,pro approved,1,,
10034-2,,,Boulder,80301,Interior Painting - Kitchen,1370,1370,0,1370,,Awaiting Approval,,,
10034-3,,,Boulder,80301,Exterior Rough Estimate,5200,5200,0,5200,,Awaiting Approval,,,
10034-4,,,Boulder,80301,NOTES,1360,1100,260,1360,,Awaiting Approval,,,
10040,10/7/2020 13:00,Facebook,Denver,80238,Pergola,1325,945,380,1325,,Awaiting Approval,1,,
10041,10/8/2020 11:00,Nextdoor,Denver,80206,Exterior Residential Painting - Exterior Preparation,5200,3830,1370,5200,,approved,1,,
10042-1,10/7/2020 10:00,Referral,Denver,80238,Exterior Residential Painting - Exterior Preparation,4400,3310,1090,4400,,approved,1,,
10052,10/8/2020 8:00,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4650,3560,1090,4650,My Website,approved,1,,
10043,10/8/2020 10:00,Nextdoor,Centennial,80015,Exterior Residential Painting - Exterior Preparation,4710,3590,1120,4710,,declined,1,,
10059-1,10/8/2020 12:30,,Parker,80138,Exterior Residential Painting - Exterior Preparation,5765,4590,1175,5765,My Website,approved,1,,
10036-2,10/5/2020 12:00,"Referral,no review",Aurora,80015,Basement Prep and Paint,1740,1900,340,2240,,approved,1,,
10036-3,10/5/2020 12:00,"Referral,no review",Aurora,80015,Popcorn Scrape,2060,1440,620,2060,,declined,1,,
10044,10/8/2020 14:00,Referral,Westminster,80214,"Painting quotes - Free Cabinet Painting Estimate: (click ""+""  to add to cart, then click ""next"" to schedule)",0,0,0,0,,SCHEDULED,2,,
10045,10/8/2020 10:00,Referral,Lakewood,80226,Interior Painting - Upstairs stairwell and hallway - 2 coats,1620,1230,390,1620,,approved,2,,
10048,,Nextdoor,Denver,80206,,0,0,0,0,,UNSCHEDULED,,,
10049-1,10/12/2020 13:00,Referral,Aurora,80015,Prime,3830,2960,870,3830,,approved,1,,
10031-2,10/2/2020 9:00,"Referral,no review",Centennial,80122,Cabinets - Cabinet Preparation,415,310,105,415,,Awaiting Approval,2,,
10060,10/12/2020 11:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4690,3560,1130,4690,My Website,approved,1,,
10063,10/12/2020 11:30,"BNI,Property Manager,Jim Shonts",Highlands Ranch,80130,Exterior Residential Painting - Exterior Preparation,4960,3900,1060,4960,My Website,Awaiting Approval,2,,
10053,10/12/2020 12:00,"BNI,Property Manager,Jim Shonts",Castle Rock,80109,Stain Pergola and Deck,1580,1220,360,1580,,approved,2,,
10061-1,10/12/2020 12:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,6590,5625,1165,6790,My Website,approved,1,,
10042-2,10/7/2020 10:00,Referral,Denver,80238,Fence and Deck Items,880,880,0,880,,pro approved,1,,
10042-3,10/7/2020 10:00,Referral,Denver,80238,Interior Painting,2250,1910,340,2250,,pro approved,1,,
10056,10/14/2020 15:00,google,Aurora,80016,Diamond Grind Floor,4310,3720,590,4310,,Awaiting Approval,1,,
10057,10/15/2020 15:00,google,Aurora,80013,Exterior Residential Painting - Exterior Preparation,3990,3150,1040,4190,,Awaiting Approval,1,,
10058,10/15/2020 10:00,,Aurora,80013,Wall Painting,5995,5020,1175,6195,,Awaiting Approval,1,,
10059-2,10/8/2020 12:30,,Parker,80138,Siding front of Home,7490,7490,0,7490,,Awaiting Approval,1,,
10070,10/15/2020 8:00,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4695,3600,1095,4695,My Website,approved,1,,
10061-2,10/12/2020 12:30,,Denver,80238,Custom Shutters,9975,9975,0,9975,,Awaiting Approval,1,,
10049-2,10/12/2020 13:00,Referral,Aurora,80015,Exterior Residential Painting - Exterior Preparation,3985,2975,1010,3985,,pro approved,1,,
10062,11/10/2020 11:30,Referral,Castle Rock,80104,Paint Outside of Front Door,5260,4340,920,5260,,Awaiting Approval,2,,
10088,10/28/2020 11:30,,Greenwood Village,80111,Exterior Preparation and Paint,4795,4165,630,4795,My Website,approved,1,,
10064,10/26/2020 13:00,Referral,Brighton,80602,Kitchen Cabinets,2285,2045,240,2285,,Awaiting Approval,1,,
10065,,,Denver,80238,Garage Floor,3765,2820,945,3765,,Awaiting Approval,,,
10087,10/28/2020 14:30,no review,Englewood,80111,Exterior Residential Painting - Exterior Preparation,5860,4635,1225,5860,My Website,approved,1,,
10089,10/29/2020 14:30,"no review,noreview",Parker,80134,Exterior Residential Painting - Exterior Preparation,5440,4300,1140,5440,My Website,approved,1,,
10078,10/22/2020 17:00,,AURORA,80014,Exterior Residential Painting - Exterior Preparation,4250,3455,1045,4500,My Website,approved,1,,
10066,10/22/2020 14:00,,Lone Tree,80124,NOTES,12945,12945,0,12945,,Awaiting Approval,2,,
9561-3,7/8/2020 8:15,,Denver,80210,,0,0,0,0,,pro approved,1,1,
10067-1,10/23/2020 10:00,NEIGHBOURS,Aurora,80016,Main Level Painting,4395,3440,955,4395,,Awaiting Approval,1,,
10068-1,10/22/2020 10:00,Referral,Denver,80238,Touch Ups,2130,1800,330,2130,,pro approved,1,,
10069,,,Denver,80231,,0,0,0,0,,UNSCHEDULED,,,
10071,,,Denver,80218,Exterior Residential Painting - Exterior Preparation,14305,12015,2290,14305,,Awaiting Approval,,,
10072,10/27/2020 15:00,Nextdoor,Centennial,80015,Exterior Residential Painting - Exterior Preparation,6100,4935,1165,6100,,approved,1,,
10085,10/26/2020 10:30,,Castle Pines,80108,Garage Floor,2180,2180,0,2180,My Website,Awaiting Approval,1,,
10073,,Returning Customer,Aurora,80015,Interior Painting - 2 Coats,5930,5060,1070,6130,,Awaiting Approval,,,
10068-2,10/22/2020 10:00,Referral,Denver,80238,Main Area,0,0,0,0,,Awaiting Approval,1,,
10079,10/26/2020 11:30,,AURORA,80013,Living Room,875,665,210,875,My Website,approved,1,,
10074,,,Denver,80231,,0,0,0,0,,UNSCHEDULED,,,
10075,10/26/2020 13:00,google,Littleton,80124,Exterior Residential Painting - Exterior Preparation,9770,8170,1600,9770,,pro approved,2,,
10076,,,Aurora,80013,Main Area Painting,6935,6235,950,7185,,Awaiting Approval,,,
10077,,Referral,Lakewood,80226,Interior Painting - Kitchen - Walls and Ceiling,460,360,100,460,,Awaiting Approval,,,
10080,10/26/2020 12:30,,Denver,80123,Cabinets - Cabinet Preparation,2840,2520,320,2840,My Website,approved,2,,
10059-3,10/8/2020 12:30,,Parker,80138,Exterior Residential Painting - Exterior Painting - 2 Coats,7195,7195,0,7195,,pro approved,1,,
10067-2,10/23/2020 10:00,NEIGHBOURS,Aurora,80016,Exterior Residential Painting - Exterior Preparation,5155,4030,1125,5155,,Awaiting Approval,1,,
10090,10/29/2020 16:00,no review,Lone Tree,80124,Exterior Residential Painting - Exterior Preparation,7430,5690,1740,7430,"My Website,no review",pro approved,2,,
10081-1,,,Boulder,80304,Exterior Residential Painting - Exterior Preparation,8220,6980,1240,8220,,Awaiting Approval,,,
10081-2,,,Boulder,80304,NOTES,17605,17605,0,17605,,Awaiting Approval,,,
10109-1,11/9/2020 11:30,,Parker,80134,Interior Main Area,3790,3205,785,3990,My Website,approved,1,,
10055-2,10/6/2020 8:00,,Denver,80238,Storm Damage-Home,4230,4230,0,4230,,approved,1,,
10082,11/2/2020 15:00,Referral,Denver,80224,Main Area Paint-2 Coats,7970,7345,825,8170,,approved,1,,
10084,,google,Denver,80238,Kitchen Island,1200,1200,0,1200,,approved,,,
10086,11/2/2020 16:00,Referral,Aurora,80016,Exterior Residential Painting - Exterior Preparation,4490,3360,1130,4490,,pro approved,1,,
10091,11/2/2020 14:30,,Denver,80238,Main Level Office-2 Coats,485,365,120,485,My Website,Awaiting Approval,1,,
10101,11/3/2020 8:00,,Denver,80238,Main Area Paint,3495,2750,745,3495,My Website,Awaiting Approval,1,,
10094,11/2/2020 11:30,,Littleton,80126,Exterior Residential Painting - Exterior Preparation,4840,3780,1060,4840,My Website,Awaiting Approval,2,,
10092-1,,,Denver,80238,Kitchen Cabinet Prep,10460,9850,610,10460,,Awaiting Approval,,,
10092-2,,,Denver,80238,Cabinets - Cabinet Preparation,5610,4990,620,5610,,Awaiting Approval,,,
10093,11/4/2020 13:00,Nextdoor,Aurora,80016,Exterior Residential Painting - Exterior Preparation,4660,3670,1190,4860,,Awaiting Approval,1,,
10095,11/6/2020 10:00,google,Littleton,80127,Interior Painting - Kitchen/Dining Room Vaulted Ceiling,985,830,155,985,,Awaiting Approval,2,,
10097,11/10/2020 14:00,Referral,Denver,80224,Exterior Residential Painting - Exterior Preparation,32060,30565,3295,33860,,Awaiting Approval,1,,
10098,,google,Henderson,80640,,0,0,0,0,,UNSCHEDULED,,,
10099,,,,,Basement,4425,3605,820,4425,,pro approved,,,
10100,11/9/2020 14:00,Facebook,Littleton,80126,Drywall Repairs,1645,1415,230,1645,,approved,2,,
10102,,,Denver,80238,"Painting quotes - Free Exterior Consultation (click ""+""  to add to cart, then click ""next"" to schedule)",0,0,0,0,,UNSCHEDULED,1,,
10103,11/10/2020 10:00,Referral,Denver,80238,Front Railing and Beams-2 Coats,1970,1560,410,1970,,Awaiting Approval,1,,
10107,11/12/2020 17:00,,Denver,80238,Bedroom 1,1410,1025,385,1410,My Website,approved,1,,
10104,11/12/2020 11:30,Referral,Lone Tree,80124,Interior Painting - Living Room Shiplap Boards,6980,6310,670,6980,,Awaiting Approval,2,,
10105-1,11/13/2020 10:00,"Highlands ranch,word of mouth BNI",Littleton,80129,Exterior Residential Painting - Exterior Preparation,5180,4120,1060,5180,,Awaiting Approval,2,,
10108,11/13/2020 10:30,,Denver,80231,Master Suite,585,380,270,650,My Website,pro approved,3,,
10106,,,Denver,80238,Main Area 2 Coats,2991,2436,705,3141,,Awaiting Approval,,,
10111,11/16/2020 13:30,,Denver,80238,Kitchen Cabinet Preparation,3580,3030,550,3580,My Website,Awaiting Approval,1,,
10115,11/16/2020 9:30,,Lakewood,80227,Exterior Residential Painting - Exterior Preparation,5480,4420,1060,5480,My Website,approved,2,,
10105-2,11/13/2020 10:00,"Highlands ranch,word of mouth BNI",Littleton,80129,Prep and Stain Deck,980,840,140,980,,Awaiting Approval,2,,
10105-3,11/13/2020 10:00,"Highlands ranch,word of mouth BNI",Littleton,80129,Stain Fence,1490,980,510,1490,,Awaiting Approval,2,,
10110,11/17/2020 8:30,,Littleton,80126,Popcorn Scrape,8378,6900,1478,8378,,pro approved,1,1,
10112-1,11/19/2020 10:00,google,Denver,80231,Interior Main Area,8980,8940,240,9180,,Awaiting Approval,3,,
10113,11/19/2020 14:00,Referral,Denver,80238,"Painting quotes - Free Exterior Consultation (click ""+""  to add to cart, then click ""next"" to schedule)",0,0,0,0,,SCHEDULED,1,,
10114-1,11/23/2020 12:00,google,Denver,80247,"Painting quotes - Free Exterior Consultation (click ""+""  to add to cart, then click ""next"" to schedule)",3440,2850,740,3590,,Awaiting Approval,3,,
10116,11/25/2020 15:00,Referral,Denver,80238,Front Door,1245,1020,225,1245,,Awaiting Approval,1,,
10117-1,11/23/2020 14:00,"Facebook,no review",Denver,80238,Exterior Work,4990,4360,630,4990,,approved,1,,
10124,11/24/2020 8:00,,Centennial,80015,Acoustic Ceiling Removal ,6260,5180,1430,6610,My Website,Awaiting Approval,1,,
10118-1,,,Lakewood,80228,Cabinets - Cabinet Preparation,15220,13670,1550,15220,,approved,,,
10118-2,,,Lakewood,80228,Interior Painting - Ceilings - 2 Coats,5740,5110,630,5740,,declined,,,
10119,,,Boulder,80303,NOTES,10980,9020,1960,10980,,approved,,,
10123,11/23/2020 8:00,,Arvada,80004,Interior Prime,8945,8265,1180,9445,My Website,Awaiting Approval,1,,
10120,,Referral,Denver,80238,Exterior Residential Painting - Exterior Preparation,6255,5275,1180,6455,,approved,,,
10121,11/25/2020 14:00,Erik,Littleton,80130,"Painting quotes - Free Exterior Consultation (click ""+""  to add to cart, then click ""next"" to schedule)",0,0,0,0,,SCHEDULED,2,,
10128,11/27/2020 9:30,,Littleton,80128,"1 South side - 1x6 between windows, 1x4 under windows",965,895,70,965,My Website,Awaiting Approval,2,,
10112-2,11/19/2020 10:00,google,Denver,80231,Preperation-Kitchen Cabinets,10447,10057,790,10847,,Awaiting Approval,3,,
10122,12/1/2020 10:00,saw truck,Aurora,80016,Interior Walls Main Area,11295,10250,1345,11595,"interior,Residential",Awaiting Approval,1,,
10129,11/25/2020 15:30,,Denver,80238,Interior Painting-2 Full Coats,6370,5240,1380,6620,My Website,approved,1,,
10125,11/27/2020 9:00,"BNI,Property Manager,Jim Shonts",Centennial,80016,"Painting quotes - Free Exterior Consultation (click ""+""  to add to cart, then click ""next"" to schedule)",4820,4200,620,4820,,SCHEDULED,3,,
10126,,,Sedalia,80135,Custom Services - Custom Job,0,0,0,0,,UNSCHEDULED,,,
10127,11/30/2020 15:00,Nextdoor,Aurora,80016,Office Painting,690,495,195,690,,approved,1,,
10114-2,11/23/2020 12:00,google,Denver,80247,New Fence On West Side,2750,1900,1000,2900,,Awaiting Approval,3,,
10118-3,,,Lakewood,80228,Interior Painting - All upstairs ceilings,2470,2000,470,2470,,declined,,,
10130,,Nextdoor,Centennial,80015,Main Level Ceiling Paint,0,0,0,0,,UNSCHEDULED,,,
